#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577979e+00 -6.330186e-01  1.256423e-01
 5.032699e+00  4.510031e+00 -5.226688e-01  1.282354e-01
 4.484341e+00  4.165509e+00 -3.188320e-01  1.372875e-01
 3.447222e+00  3.404774e+00 -4.244780e-02  1.607618e-01
 2.084373e+00  2.284523e+00  2.001495e-01  2.152172e-01
 7.998389e-01  1.020078e+00  2.202389e-01  2.613876e-01
 1.940412e-02  1.440434e-01  1.246393e-01  2.613876e-01
 2.921057e-05 -2.180120e-02 -2.183041e-02  2.613876e-01
 7.285977e-01  6.726125e-01 -5.598520e-02  2.613876e-01
 1.889364e+00  1.887341e+00 -2.023102e-03  2.259503e-01
 2.942955e+00  3.009847e+00  6.689143e-02  1.768235e-01
 3.366410e+00  3.475155e+00  1.087452e-01  1.630800e-01
 2.942955e+00  3.009917e+00  6.696204e-02  1.768235e-01
 1.889362e+00  1.886586e+00 -2.775892e-03  2.259504e-01
 7.285884e-01  7.017828e-01 -2.680563e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.442257e-01  1.248210e-01  2.613876e-01
 7.998387e-01  1.020305e+00  2.204659e-01  2.613876e-01
 2.084374e+00  2.284727e+00  2.003535e-01  2.152171e-01
 3.447223e+00  3.404817e+00 -4.240647e-02  1.607617e-01
 4.484344e+00  4.164966e+00 -3.193781e-01  1.372874e-01
 5.032698e+00  4.509945e+00 -5.227530e-01  1.282354e-01
 5.210998e+00  4.577874e+00 -6.331236e-01  1.256423e-01
 5.236732e+00  4.572901e+00 -6.638307e-01  1.252804e-01
