#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.579334e+00 -6.316639e-01  1.256423e-01
 5.032699e+00  4.501591e+00 -5.311080e-01  1.282354e-01
 4.484341e+00  4.160730e+00 -3.236104e-01  1.372875e-01
 3.447222e+00  3.416656e+00 -3.056600e-02  1.607618e-01
 2.084373e+00  2.307800e+00  2.234268e-01  2.152172e-01
 7.998389e-01  1.039930e+00  2.400908e-01  2.613876e-01
 1.940412e-02  1.526034e-01  1.331992e-01  2.613876e-01
 2.921057e-05 -2.174226e-02 -2.177147e-02  2.613876e-01
 7.285977e-01  6.739537e-01 -5.464401e-02  2.613876e-01
 1.889364e+00  1.902713e+00  1.334939e-02  2.259503e-01
 2.942955e+00  3.045947e+00  1.029916e-01  1.768235e-01
 3.366410e+00  3.521720e+00  1.553099e-01  1.630800e-01
 2.942955e+00  3.046017e+00  1.030619e-01  1.768235e-01
 1.889362e+00  1.901956e+00  1.259442e-02  2.259504e-01
 7.285884e-01  7.031283e-01 -2.546013e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.527854e-01  1.333807e-01  2.613876e-01
 7.998387e-01  1.040156e+00  2.403175e-01  2.613876e-01
 2.084374e+00  2.308004e+00  2.236303e-01  2.152171e-01
 3.447223e+00  3.416697e+00 -3.052618e-02  1.607617e-01
 4.484344e+00  4.160187e+00 -3.241569e-01  1.372874e-01
 5.032698e+00  4.501508e+00 -5.311905e-01  1.282354e-01
 5.210998e+00  4.579232e+00 -6.317655e-01  1.256423e-01
 5.236732e+00  4.580781e+00 -6.559508e-01  1.252804e-01
