#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104137e+00  7.362617e+00  2.584798e-01  1.687603e-01
 8.202623e+00  8.321381e+00  1.187580e-01  1.556466e-01
 9.855330e+00  9.987240e+00  1.319100e-01  1.405982e-01
 1.159126e+01  1.184478e+01  2.535125e-01  0.000000e+00
 1.278368e+01  1.317270e+01  3.890243e-01  0.000000e+00
 1.279677e+01  1.321154e+01  4.147681e-01  0.000000e+00
 1.133485e+01  1.161669e+01  2.818359e-01  0.000000e+00
 8.703143e+00  8.827184e+00  1.240408e-01  1.505946e-01
 5.591278e+00  5.620101e+00  2.882293e-02  1.936239e-01
 2.727443e+00  2.708724e+00 -1.871919e-02  2.970821e-01
 7.216439e-01  7.119500e-01 -9.693892e-03  4.197183e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197183e-01
 7.216457e-01  7.119077e-01 -9.738007e-03  4.197183e-01
 2.727446e+00  2.708707e+00 -1.873940e-02  2.970819e-01
 5.591287e+00  5.620069e+00  2.878116e-02  1.936237e-01
 8.703141e+00  8.827148e+00  1.240074e-01  1.505946e-01
 1.133485e+01  1.161671e+01  2.818658e-01  0.000000e+00
 1.279677e+01  1.321156e+01  4.147893e-01  0.000000e+00
 1.278368e+01  1.317273e+01  3.890524e-01  0.000000e+00
 1.159126e+01  1.184502e+01  2.537593e-01  0.000000e+00
 9.855330e+00  9.987272e+00  1.319419e-01  1.405982e-01
 8.202623e+00  8.321362e+00  1.187391e-01  1.556466e-01
 7.104137e+00  7.362677e+00  2.585403e-01  1.687603e-01
 6.844753e+00  7.373330e+00  5.285773e-01  1.723623e-01
