#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104137e+00  7.361920e+00  2.577833e-01  1.687603e-01
 8.202623e+00  8.320909e+00  1.182862e-01  1.556466e-01
 9.855330e+00  9.986999e+00  1.316693e-01  1.405982e-01
 1.159126e+01  1.184464e+01  2.533795e-01  0.000000e+00
 1.278368e+01  1.317250e+01  3.888198e-01  0.000000e+00
 1.279677e+01  1.321113e+01  4.143629e-01  0.000000e+00
 1.133485e+01  1.161608e+01  2.812321e-01  0.000000e+00
 8.703143e+00  8.826514e+00  1.233703e-01  1.505946e-01
 5.591278e+00  5.619543e+00  2.826552e-02  1.936239e-01
 2.727443e+00  2.708402e+00 -1.904091e-02  2.970821e-01
 7.216439e-01  7.118563e-01 -9.787566e-03  4.197183e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197183e-01
 7.216457e-01  7.118145e-01 -9.831215e-03  4.197183e-01
 2.727446e+00  2.708385e+00 -1.906100e-02  2.970819e-01
 5.591287e+00  5.619511e+00  2.822386e-02  1.936237e-01
 8.703141e+00  8.826477e+00  1.233365e-01  1.505946e-01
 1.133485e+01  1.161611e+01  2.812614e-01  0.000000e+00
 1.279677e+01  1.321115e+01  4.143844e-01  0.000000e+00
 1.278368e+01  1.317253e+01  3.888481e-01  0.000000e+00
 1.159126e+01  1.184489e+01  2.536264e-01  0.000000e+00
 9.855330e+00  9.987031e+00  1.317009e-01  1.405982e-01
 8.202623e+00  8.320890e+00  1.182672e-01  1.556466e-01
 7.104137e+00  7.361980e+00  2.578436e-01  1.687603e-01
 6.844753e+00  7.372541e+00  5.277880e-01  1.723623e-01
