,smirks,parameter,before,after,change
0,"[#6H1X3x2r6+0a:1](-;!@[#1H0X1x0!r+0A])(:;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_0_k1,0.0,0.0,0.0
1,"[#6H1X3x2r6+0a:1](-;!@[#1H0X1x0!r+0A])(:;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_0_k2,0.0,0.0,0.0
2,"[#6H1X3x2r6+0a:1](-;!@[#1H0X1x0!r+0A])(:;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_0_k3,-0.224455748195,-0.224455748195,0.0
3,"[#6H1X3x2r6+0a:1](-;!@[#1H0X1x0!r+0A])(:;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_0_k4,0.0,0.0,0.0
4,"[#6H1X3x2r6+0a:1](-;!@[#1H0X1x0!r+0A])(:;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_1_k1,0.0,0.0,0.0
5,"[#6H1X3x2r6+0a:1](-;!@[#1H0X1x0!r+0A])(:;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_1_k2,0.0,0.0,0.0
6,"[#6H1X3x2r6+0a:1](-;!@[#1H0X1x0!r+0A])(:;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_1_k3,-0.224455748195,-0.224455748195,0.0
7,"[#6H1X3x2r6+0a:1](-;!@[#1H0X1x0!r+0A])(:;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H3X4x0!r+0A,#8H1X2x0!r+0A]-;!@[#1H0X1x0!r+0A]):;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_1_k4,0.0,0.0,0.0
8,"[#6H0X3x2r6+0a:1](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a,#8H1X2x0!r+0A]-,:[#1H0X1x0!r+0A,#6H1X3x2r6+0a]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a,#8H1X2x0!r+0A]-,:[#1H0X1x0!r+0A,#6H1X3x2r6+0a])(:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_2_k1,0.0,0.0,0.0
9,"[#6H0X3x2r6+0a:1](:;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a](-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a,#8H1X2x0!r+0A]-,:[#1H0X1x0!r+0A,#6H1X3x2r6+0a]):;@[#6H1X3x2r6+0a](-;!@[#1H0X1x0!r+0A]):;@[#6H0X3x2r6+0a]-;!@[#6H0X3x0!r+0A,#8H0X2x0!r+0A]-;!@[#6H0X3x2r6+0a,#8H1X2x0!r+0A]-,:[#1H0X1x0!r+0A,#6H1X3x2r6+0a])(:;@[#6H1X3x2r6+0a]-;!@[#1H0X1x0!r+0A])-;!@[#8H0X2x0!r+0A:2]-;!@[#6H3X4x0!r+0A:3](-;!@[#1H0X1x0!r+0A])(-;!@[#1H0X1x0!r+0A])-;!@[#1H0X1x0!r+0A:4]",smirks_2_k2,0.0,0.0,0.0
