#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.582933e+00 -6.280647e-01  1.256423e-01
 5.032699e+00  4.499914e+00 -5.327852e-01  1.282354e-01
 4.484341e+00  4.155671e+00 -3.286696e-01  1.372875e-01
 3.447222e+00  3.413810e+00 -3.341141e-02  1.607618e-01
 2.084373e+00  2.310834e+00  2.264610e-01  2.152172e-01
 7.998389e-01  1.046518e+00  2.466791e-01  2.613876e-01
 1.940412e-02  1.574107e-01  1.380066e-01  2.613876e-01
 2.921057e-05 -2.174088e-02 -2.177009e-02  2.613876e-01
 7.285975e-01  7.009938e-01 -2.760370e-02  2.613876e-01
 1.889364e+00  1.900369e+00  1.100531e-02  2.259503e-01
 2.942955e+00  3.047483e+00  1.045276e-01  1.768235e-01
 3.366410e+00  3.525444e+00  1.590343e-01  1.630800e-01
 2.942955e+00  3.047553e+00  1.045979e-01  1.768235e-01
 1.889362e+00  1.899612e+00  1.025040e-02  2.259504e-01
 7.285884e-01  6.998132e-01 -2.877519e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.575928e-01  1.381881e-01  2.613876e-01
 7.998387e-01  1.046744e+00  2.469057e-01  2.613876e-01
 2.084374e+00  2.311038e+00  2.266646e-01  2.152171e-01
 3.447223e+00  3.413851e+00 -3.337166e-02  1.607617e-01
 4.484344e+00  4.155129e+00 -3.292152e-01  1.372874e-01
 5.032698e+00  4.499831e+00 -5.328677e-01  1.282354e-01
 5.210998e+00  4.582832e+00 -6.281657e-01  1.256423e-01
 5.236732e+00  4.586798e+00 -6.499345e-01  1.252804e-01
