#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577773e+00 -6.332247e-01  1.256423e-01
 5.032699e+00  4.499219e+00 -5.334809e-01  1.282354e-01
 4.484341e+00  4.157926e+00 -3.264151e-01  1.372875e-01
 3.447222e+00  3.414514e+00 -3.270792e-02  1.607618e-01
 2.084373e+00  2.307176e+00  2.228028e-01  2.152172e-01
 7.998389e-01  1.040578e+00  2.407394e-01  2.613876e-01
 1.940412e-02  1.534537e-01  1.340496e-01  2.613876e-01
 2.921057e-05 -2.174207e-02 -2.177128e-02  2.613876e-01
 7.285975e-01  7.029844e-01 -2.561312e-02  2.613876e-01
 1.889364e+00  1.900245e+00  1.088123e-02  2.259503e-01
 2.942955e+00  3.042860e+00  9.990440e-02  1.768235e-01
 3.366410e+00  3.518467e+00  1.520575e-01  1.630800e-01
 2.942955e+00  3.042930e+00  9.997472e-02  1.768235e-01
 1.889362e+00  1.899488e+00  1.012627e-02  2.259504e-01
 7.285884e-01  7.018038e-01 -2.678467e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.536358e-01  1.342311e-01  2.613876e-01
 7.998387e-01  1.040805e+00  2.409660e-01  2.613876e-01
 2.084374e+00  2.307380e+00  2.230064e-01  2.152171e-01
 3.447223e+00  3.414555e+00 -3.266815e-02  1.607617e-01
 4.484344e+00  4.157383e+00 -3.269606e-01  1.372874e-01
 5.032698e+00  4.499135e+00 -5.335634e-01  1.282354e-01
 5.210998e+00  4.577672e+00 -6.333258e-01  1.256423e-01
 5.236732e+00  4.579600e+00 -6.571321e-01  1.252804e-01
