#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.659086e-01  4.861792e-01  3.202706e-01  2.392375e-01
 6.952891e-01  1.702911e+00  1.007622e+00  2.392375e-01
 1.585412e+00  3.683088e+00  2.097676e+00  2.222460e-01
 2.667048e+00  6.070115e+00  3.403067e+00  1.715867e-01
 3.588160e+00  8.214608e+00  4.626449e+00  1.436239e-01
 3.961929e+00  9.155983e+00  5.194054e+00  1.353075e-01
 3.630817e+00  8.436836e+00  4.806019e+00  1.426039e-01
 2.754701e+00  6.397953e+00  3.643252e+00  1.683416e-01
 1.677617e+00  3.901173e+00  2.223556e+00  2.176723e-01
 7.482363e-01  1.743168e+00  9.949314e-01  2.392375e-01
 1.792947e-01  4.392967e-01  2.600020e-01  2.392375e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.392375e-01
 1.792946e-01  4.393070e-01  2.600124e-01  2.392375e-01
 7.482365e-01  1.743134e+00  9.948974e-01  2.392375e-01
 1.677617e+00  3.901140e+00  2.223523e+00  2.176723e-01
 2.754701e+00  6.397971e+00  3.643269e+00  1.683416e-01
 3.630817e+00  8.436845e+00  4.806028e+00  1.426039e-01
 3.961929e+00  9.156002e+00  5.194073e+00  1.353075e-01
 3.588160e+00  8.214613e+00  4.626453e+00  1.436239e-01
 2.667048e+00  6.070160e+00  3.403112e+00  1.715867e-01
 1.585412e+00  3.683154e+00  2.097742e+00  2.222460e-01
 6.952891e-01  1.702885e+00  1.007595e+00  2.392375e-01
 1.659085e-01  4.861551e-01  3.202466e-01  2.392375e-01
 8.706694e-05  4.856225e-02  4.847518e-02  2.392375e-01
