#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104139e+00  7.361483e+00  2.573445e-01  1.687603e-01
 8.202624e+00  8.319358e+00  1.167341e-01  1.556466e-01
 9.855332e+00  9.984770e+00  1.294384e-01  1.405982e-01
 1.159126e+01  1.184235e+01  2.510830e-01  0.000000e+00
 1.278368e+01  1.317036e+01  3.866867e-01  0.000000e+00
 1.279677e+01  1.320841e+01  4.116377e-01  0.000000e+00
 1.133485e+01  1.161341e+01  2.785569e-01  0.000000e+00
 8.703144e+00  8.825189e+00  1.220459e-01  1.505946e-01
 5.591281e+00  5.619648e+00  2.836721e-02  1.936239e-01
 2.727445e+00  2.708925e+00 -1.851997e-02  2.970820e-01
 7.216445e-01  7.121006e-01 -9.543870e-03  4.197184e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197184e-01
 7.216463e-01  7.120588e-01 -9.587525e-03  4.197184e-01
 2.727448e+00  2.708907e+00 -1.854042e-02  2.970818e-01
 5.591291e+00  5.619614e+00  2.832352e-02  1.936237e-01
 8.703141e+00  8.825149e+00  1.220078e-01  1.505947e-01
 1.133485e+01  1.161347e+01  2.786163e-01  0.000000e+00
 1.279677e+01  1.320842e+01  4.116557e-01  0.000000e+00
 1.278368e+01  1.317039e+01  3.867168e-01  0.000000e+00
 1.159127e+01  1.184258e+01  2.513148e-01  0.000000e+00
 9.855331e+00  9.984802e+00  1.294706e-01  1.405982e-01
 8.202624e+00  8.319337e+00  1.167129e-01  1.556466e-01
 7.104138e+00  7.361526e+00  2.573877e-01  1.687603e-01
 6.844752e+00  7.372562e+00  5.278091e-01  1.723623e-01
