#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.659088e-01  4.859073e-01  3.199984e-01  2.392375e-01
 6.952894e-01  1.702606e+00  1.007317e+00  2.392375e-01
 1.585412e+00  3.682760e+00  2.097348e+00  2.222459e-01
 2.667048e+00  6.069912e+00  3.402864e+00  1.715867e-01
 3.588160e+00  8.214307e+00  4.626147e+00  1.436239e-01
 3.961929e+00  9.155983e+00  5.194054e+00  1.353075e-01
 3.630817e+00  8.436835e+00  4.806017e+00  1.426039e-01
 2.754701e+00  6.397945e+00  3.643244e+00  1.683416e-01
 1.677617e+00  3.901162e+00  2.223545e+00  2.176723e-01
 7.482363e-01  1.743160e+00  9.949239e-01  2.392375e-01
 1.792947e-01  4.392943e-01  2.599996e-01  2.392375e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.392375e-01
 1.792946e-01  4.393046e-01  2.600100e-01  2.392375e-01
 7.482365e-01  1.743126e+00  9.948899e-01  2.392375e-01
 1.677617e+00  3.901130e+00  2.223513e+00  2.176723e-01
 2.754701e+00  6.397963e+00  3.643261e+00  1.683416e-01
 3.630817e+00  8.436844e+00  4.806027e+00  1.426039e-01
 3.961929e+00  9.156002e+00  5.194073e+00  1.353075e-01
 3.588160e+00  8.214343e+00  4.626183e+00  1.436239e-01
 2.667048e+00  6.069950e+00  3.402902e+00  1.715867e-01
 1.585412e+00  3.682791e+00  2.097379e+00  2.222459e-01
 6.952894e-01  1.702614e+00  1.007325e+00  2.392375e-01
 1.659089e-01  4.859082e-01  3.199994e-01  2.392375e-01
 8.726774e-05  4.825808e-02  4.817081e-02  2.392375e-01
