#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104139e+00  7.817953e+00  7.138148e-01  1.687603e-01
 8.202624e+00  8.716657e+00  5.140335e-01  1.556466e-01
 9.855332e+00  1.031216e+01  4.568311e-01  1.405982e-01
 1.159126e+01  1.211509e+01  5.238253e-01  0.000000e+00
 1.278368e+01  1.341624e+01  6.325594e-01  0.000000e+00
 1.279677e+01  1.344824e+01  6.514691e-01  0.000000e+00
 1.133485e+01  1.184721e+01  5.123533e-01  0.000000e+00
 8.703144e+00  9.032126e+00  3.289826e-01  1.505946e-01
 5.591281e+00  5.771936e+00  1.806547e-01  1.936239e-01
 2.727445e+00  2.791296e+00  6.385062e-02  2.970820e-01
 7.216445e-01  7.352867e-01  1.364218e-02  4.197184e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197184e-01
 7.216463e-01  7.352452e-01  1.359892e-02  4.197184e-01
 2.727448e+00  2.791278e+00  6.383039e-02  2.970818e-01
 5.591291e+00  5.771901e+00  1.806107e-01  1.936237e-01
 8.703141e+00  9.032085e+00  3.289442e-01  1.505947e-01
 1.133485e+01  1.184726e+01  5.124126e-01  0.000000e+00
 1.279677e+01  1.344826e+01  6.514875e-01  0.000000e+00
 1.278368e+01  1.341627e+01  6.325897e-01  0.000000e+00
 1.159127e+01  1.211532e+01  5.240573e-01  0.000000e+00
 9.855331e+00  1.031219e+01  4.568635e-01  1.405982e-01
 8.202624e+00  8.716636e+00  5.140119e-01  1.556466e-01
 7.104138e+00  7.817996e+00  7.138575e-01  1.687603e-01
 6.844752e+00  7.852212e+00  1.007459e+00  1.723623e-01
