#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104139e+00  7.361091e+00  2.569526e-01  1.687603e-01
 8.202624e+00  8.321063e+00  1.184393e-01  1.556466e-01
 9.855332e+00  9.988100e+00  1.327682e-01  1.405982e-01
 1.159126e+01  1.184587e+01  2.546096e-01  0.000000e+00
 1.278368e+01  1.317316e+01  3.894839e-01  0.000000e+00
 1.279677e+01  1.321047e+01  4.136974e-01  0.000000e+00
 1.133485e+01  1.161412e+01  2.792714e-01  0.000000e+00
 8.703144e+00  8.823895e+00  1.207516e-01  1.505946e-01
 5.591281e+00  5.617173e+00  2.589144e-02  1.936239e-01
 2.727445e+00  2.706957e+00 -2.048841e-02  2.970820e-01
 7.216445e-01  7.114376e-01 -1.020693e-02  4.197184e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197184e-01
 7.216463e-01  7.113956e-01 -1.025069e-02  4.197184e-01
 2.727448e+00  2.706940e+00 -2.050809e-02  2.970818e-01
 5.591291e+00  5.617138e+00  2.584740e-02  1.936237e-01
 8.703141e+00  8.823855e+00  1.207141e-01  1.505947e-01
 1.133485e+01  1.161418e+01  2.793305e-01  0.000000e+00
 1.279677e+01  1.321048e+01  4.137159e-01  0.000000e+00
 1.278368e+01  1.317319e+01  3.895145e-01  0.000000e+00
 1.159127e+01  1.184611e+01  2.548412e-01  0.000000e+00
 9.855331e+00  9.988132e+00  1.328005e-01  1.405982e-01
 8.202624e+00  8.321042e+00  1.184180e-01  1.556466e-01
 7.104138e+00  7.361134e+00  2.569956e-01  1.687603e-01
 6.844752e+00  7.371252e+00  5.264996e-01  1.723623e-01
