#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104139e+00  7.362804e+00  2.586653e-01  1.687603e-01
 8.202624e+00  8.321348e+00  1.187243e-01  1.556466e-01
 9.855332e+00  9.987015e+00  1.316837e-01  1.405982e-01
 1.159126e+01  1.184436e+01  2.530999e-01  0.000000e+00
 1.278368e+01  1.317253e+01  3.888560e-01  0.000000e+00
 1.279677e+01  1.321164e+01  4.148699e-01  0.000000e+00
 1.133485e+01  1.161709e+01  2.822412e-01  0.000000e+00
 8.703144e+00  8.827739e+00  1.245956e-01  1.505946e-01
 5.591281e+00  5.620583e+00  2.930140e-02  1.936239e-01
 2.727445e+00  2.708990e+00 -1.845488e-02  2.970820e-01
 7.216445e-01  7.120373e-01 -9.607189e-03  4.197184e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197184e-01
 7.216463e-01  7.119958e-01 -9.650560e-03  4.197184e-01
 2.727448e+00  2.708972e+00 -1.847535e-02  2.970818e-01
 5.591291e+00  5.620548e+00  2.925763e-02  1.936237e-01
 8.703141e+00  8.827698e+00  1.245573e-01  1.505947e-01
 1.133485e+01  1.161715e+01  2.823005e-01  0.000000e+00
 1.279677e+01  1.321166e+01  4.148881e-01  0.000000e+00
 1.278368e+01  1.317256e+01  3.888859e-01  0.000000e+00
 1.159127e+01  1.184460e+01  2.533319e-01  0.000000e+00
 9.855331e+00  9.987047e+00  1.317159e-01  1.405982e-01
 8.202624e+00  8.321327e+00  1.187030e-01  1.556466e-01
 7.104138e+00  7.362847e+00  2.587084e-01  1.687603e-01
 6.844752e+00  7.373563e+00  5.288109e-01  1.723623e-01
