#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.659088e-01  4.859076e-01  3.199988e-01  2.392375e-01
 6.952894e-01  1.702608e+00  1.007319e+00  2.392375e-01
 1.585412e+00  3.682764e+00  2.097352e+00  2.222459e-01
 2.667048e+00  6.069917e+00  3.402869e+00  1.715867e-01
 3.588160e+00  8.214310e+00  4.626150e+00  1.436239e-01
 3.961929e+00  9.155983e+00  5.194054e+00  1.353075e-01
 3.630817e+00  8.436837e+00  4.806020e+00  1.426039e-01
 2.754701e+00  6.397950e+00  3.643249e+00  1.683416e-01
 1.677617e+00  3.901166e+00  2.223549e+00  2.176723e-01
 7.482363e-01  1.743162e+00  9.949259e-01  2.392375e-01
 1.792947e-01  4.392947e-01  2.600001e-01  2.392375e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.392375e-01
 1.792946e-01  4.393051e-01  2.600105e-01  2.392375e-01
 7.482365e-01  1.743128e+00  9.948919e-01  2.392375e-01
 1.677617e+00  3.901134e+00  2.223517e+00  2.176723e-01
 2.754701e+00  6.397968e+00  3.643266e+00  1.683416e-01
 3.630817e+00  8.436846e+00  4.806029e+00  1.426039e-01
 3.961929e+00  9.156002e+00  5.194073e+00  1.353075e-01
 3.588160e+00  8.214346e+00  4.626186e+00  1.436239e-01
 2.667048e+00  6.069955e+00  3.402907e+00  1.715867e-01
 1.585412e+00  3.682795e+00  2.097383e+00  2.222459e-01
 6.952894e-01  1.702616e+00  1.007327e+00  2.392375e-01
 1.659089e-01  4.859086e-01  3.199997e-01  2.392375e-01
 8.726774e-05  4.825809e-02  4.817082e-02  2.392375e-01
