#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.373546e-01 -1.089831e-01 -4.463377e-01  2.568992e-01
 1.296448e+00 -8.419707e-02 -1.380645e+00  2.515460e-01
 2.659336e+00  1.140692e-01 -2.545266e+00  1.845682e-01
 3.768230e+00  6.146015e-01 -3.153629e+00  1.497423e-01
 4.333536e+00  9.440653e-01 -3.389470e+00  1.377066e-01
 4.531842e+00  1.071565e+00 -3.460277e+00  1.340878e-01
 4.270198e+00  9.513909e-01 -3.318807e+00  1.389218e-01
 3.615057e+00  6.412503e-01 -2.973806e+00  1.535339e-01
 2.458158e+00  1.377613e-01 -2.320397e+00  1.932003e-01
 1.166464e+00 -4.151894e-02 -1.207983e+00  2.551498e-01
 2.987468e-01 -2.334927e-02 -3.220960e-01  2.568992e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.568992e-01
 2.987260e-01 -2.357813e-02 -3.223041e-01  2.568992e-01
 1.166474e+00 -4.150651e-02 -1.207981e+00  2.551495e-01
 2.458159e+00  1.377508e-01 -2.320408e+00  1.932002e-01
 3.615058e+00  6.412900e-01 -2.973768e+00  1.535339e-01
 4.270061e+00  9.534284e-01 -3.316633e+00  1.389244e-01
 4.532236e+00  1.076149e+00 -3.456087e+00  1.340809e-01
 4.333513e+00  9.439601e-01 -3.389553e+00  1.377070e-01
 3.768234e+00  6.160314e-01 -3.152202e+00  1.497422e-01
 2.659341e+00  1.135536e-01 -2.545788e+00  1.845679e-01
 1.296090e+00 -8.943594e-02 -1.385526e+00  2.515583e-01
 3.374613e-01 -1.088575e-01 -4.463189e-01  2.568992e-01
 3.079189e-05 -9.328201e-02 -9.331280e-02  2.568992e-01
