#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.581336e+00 -6.296624e-01  1.256423e-01
 5.032699e+00  4.515824e+00 -5.168752e-01  1.282354e-01
 4.484341e+00  4.171091e+00 -3.132500e-01  1.372875e-01
 3.447222e+00  3.407526e+00 -3.969542e-02  1.607618e-01
 2.084373e+00  2.284984e+00  2.006110e-01  2.152172e-01
 7.998389e-01  1.019934e+00  2.200949e-01  2.613876e-01
 1.940412e-02  1.439291e-01  1.245250e-01  2.613876e-01
 2.921057e-05 -2.181384e-02 -2.184305e-02  2.613876e-01
 7.285977e-01  6.729085e-01 -5.568924e-02  2.613876e-01
 1.889364e+00  1.887647e+00 -1.717102e-03  2.259503e-01
 2.942955e+00  3.009315e+00  6.636004e-02  1.768235e-01
 3.366410e+00  3.473983e+00  1.075735e-01  1.630800e-01
 2.942955e+00  3.009386e+00  6.643072e-02  1.768235e-01
 1.889362e+00  1.886893e+00 -2.469398e-03  2.259504e-01
 7.285884e-01  7.020781e-01 -2.651033e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.441115e-01  1.247068e-01  2.613876e-01
 7.998387e-01  1.020161e+00  2.203220e-01  2.613876e-01
 2.084374e+00  2.285189e+00  2.008150e-01  2.152171e-01
 3.447223e+00  3.407569e+00 -3.965377e-02  1.607617e-01
 4.484344e+00  4.170548e+00 -3.137960e-01  1.372874e-01
 5.032698e+00  4.515739e+00 -5.169598e-01  1.282354e-01
 5.210998e+00  4.581230e+00 -6.297681e-01  1.256423e-01
 5.236732e+00  4.574737e+00 -6.619945e-01  1.252804e-01
