#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.573645e+00 -6.373534e-01  1.256423e-01
 5.032699e+00  4.502745e+00 -5.299544e-01  1.282354e-01
 4.484341e+00  4.158529e+00 -3.258115e-01  1.372875e-01
 3.447222e+00  3.401368e+00 -4.585417e-02  1.607618e-01
 2.084373e+00  2.284040e+00  1.996668e-01  2.152172e-01
 7.998389e-01  1.020369e+00  2.205297e-01  2.613876e-01
 1.940412e-02  1.442503e-01  1.248462e-01  2.613876e-01
 2.921057e-05 -2.178529e-02 -2.181450e-02  2.613876e-01
 7.285977e-01  6.722107e-01 -5.638702e-02  2.613876e-01
 1.889364e+00  1.886916e+00 -2.448127e-03  2.259503e-01
 2.942955e+00  3.010427e+00  6.747198e-02  1.768235e-01
 3.366410e+00  3.476502e+00  1.100920e-01  1.630800e-01
 2.942955e+00  3.010498e+00  6.754252e-02  1.768235e-01
 1.889362e+00  1.886160e+00 -3.201539e-03  2.259504e-01
 7.285884e-01  7.013818e-01 -2.720663e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.444326e-01  1.250279e-01  2.613876e-01
 7.998387e-01  1.020595e+00  2.207566e-01  2.613876e-01
 2.084374e+00  2.284244e+00  1.998707e-01  2.152171e-01
 3.447223e+00  3.401410e+00 -4.581326e-02  1.607617e-01
 4.484344e+00  4.157986e+00 -3.263576e-01  1.372874e-01
 5.032698e+00  4.502660e+00 -5.300381e-01  1.282354e-01
 5.210998e+00  4.573540e+00 -6.374575e-01  1.256423e-01
 5.236732e+00  4.570409e+00 -6.663227e-01  1.252804e-01
