#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577034e+00 -6.339642e-01  1.256423e-01
 5.032699e+00  4.499129e+00 -5.335705e-01  1.282354e-01
 4.484341e+00  4.158405e+00 -3.259361e-01  1.372875e-01
 3.447222e+00  3.415076e+00 -3.214564e-02  1.607618e-01
 2.084373e+00  2.307391e+00  2.230174e-01  2.152172e-01
 7.998389e-01  1.040457e+00  2.406178e-01  2.613876e-01
 1.940412e-02  1.532910e-01  1.338868e-01  2.613876e-01
 2.921057e-05 -2.174218e-02 -2.177139e-02  2.613876e-01
 7.285975e-01  7.030837e-01 -2.551378e-02  2.613876e-01
 1.889364e+00  1.900203e+00  1.083915e-02  2.259503e-01
 2.942955e+00  3.042519e+00  9.956383e-02  1.768235e-01
 3.366410e+00  3.517969e+00  1.515587e-01  1.630800e-01
 2.942955e+00  3.042589e+00  9.963415e-02  1.768235e-01
 1.889362e+00  1.899446e+00  1.008419e-02  2.259504e-01
 7.285884e-01  7.019031e-01 -2.668533e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.534730e-01  1.340684e-01  2.613876e-01
 7.998387e-01  1.040683e+00  2.408444e-01  2.613876e-01
 2.084374e+00  2.307595e+00  2.232210e-01  2.152171e-01
 3.447223e+00  3.415117e+00 -3.210586e-02  1.607617e-01
 4.484344e+00  4.157862e+00 -3.264816e-01  1.372874e-01
 5.032698e+00  4.499046e+00 -5.336529e-01  1.282354e-01
 5.210998e+00  4.576933e+00 -6.340653e-01  1.256423e-01
 5.236732e+00  4.578583e+00 -6.581491e-01  1.252804e-01
