#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.590217e+00 -6.207811e-01  1.256423e-01
 5.032699e+00  4.511070e+00 -5.216295e-01  1.282354e-01
 4.484341e+00  4.165118e+00 -3.192228e-01  1.372875e-01
 3.447222e+00  3.417104e+00 -3.011801e-02  1.607618e-01
 2.084373e+00  2.310904e+00  2.265307e-01  2.152172e-01
 7.998389e-01  1.047500e+00  2.476608e-01  2.613876e-01
 1.940412e-02  1.590021e-01  1.395980e-01  2.613876e-01
 2.921057e-05 -2.177639e-02 -2.180560e-02  2.613876e-01
 7.285975e-01  6.986109e-01 -2.998661e-02  2.613876e-01
 1.889364e+00  1.895751e+00  6.387490e-03  2.259503e-01
 2.942955e+00  3.040475e+00  9.752010e-02  1.768235e-01
 3.366410e+00  3.517174e+00  1.507636e-01  1.630800e-01
 2.942955e+00  3.040546e+00  9.759060e-02  1.768235e-01
 1.889362e+00  1.894996e+00  5.634023e-03  2.259504e-01
 7.285884e-01  6.974303e-01 -3.115816e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.591843e-01  1.397796e-01  2.613876e-01
 7.998387e-01  1.047726e+00  2.478877e-01  2.613876e-01
 2.084374e+00  2.311108e+00  2.267345e-01  2.152171e-01
 3.447223e+00  3.417146e+00 -3.007734e-02  1.607617e-01
 4.484344e+00  4.164576e+00 -3.197683e-01  1.372874e-01
 5.032698e+00  4.510985e+00 -5.217131e-01  1.282354e-01
 5.210998e+00  4.590114e+00 -6.208841e-01  1.256423e-01
 5.236732e+00  4.591390e+00 -6.453419e-01  1.252804e-01
