#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.583035e+00 -6.279631e-01  1.256423e-01
 5.032699e+00  4.499959e+00 -5.327405e-01  1.282354e-01
 4.484341e+00  4.155667e+00 -3.286743e-01  1.372875e-01
 3.447222e+00  3.413797e+00 -3.342459e-02  1.607618e-01
 2.084373e+00  2.310845e+00  2.264717e-01  2.152172e-01
 7.998389e-01  1.046546e+00  2.467067e-01  2.613876e-01
 1.940412e-02  1.574291e-01  1.380249e-01  2.613876e-01
 2.921057e-05 -2.174086e-02 -2.177008e-02  2.613876e-01
 7.285975e-01  7.009963e-01 -2.760120e-02  2.613876e-01
 1.889364e+00  1.900408e+00  1.104469e-02  2.259503e-01
 2.942955e+00  3.047574e+00  1.046190e-01  1.768235e-01
 3.366410e+00  3.525561e+00  1.591509e-01  1.630800e-01
 2.942955e+00  3.047645e+00  1.046893e-01  1.768235e-01
 1.889362e+00  1.899652e+00  1.028978e-02  2.259504e-01
 7.285884e-01  6.998157e-01 -2.877269e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.576111e-01  1.382065e-01  2.613876e-01
 7.998387e-01  1.046772e+00  2.469333e-01  2.613876e-01
 2.084374e+00  2.311049e+00  2.266753e-01  2.152171e-01
 3.447223e+00  3.413838e+00 -3.338483e-02  1.607617e-01
 4.484344e+00  4.155124e+00 -3.292199e-01  1.372874e-01
 5.032698e+00  4.499875e+00 -5.328230e-01  1.282354e-01
 5.210998e+00  4.582934e+00 -6.280642e-01  1.256423e-01
 5.236732e+00  4.586924e+00 -6.498085e-01  1.252804e-01
