#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.578102e+00 -6.328956e-01  1.256423e-01
 5.032699e+00  4.510219e+00 -5.224808e-01  1.282354e-01
 4.484341e+00  4.165672e+00 -3.186683e-01  1.372875e-01
 3.447222e+00  3.404837e+00 -4.238511e-02  1.607618e-01
 2.084373e+00  2.284517e+00  2.001437e-01  2.152172e-01
 7.998389e-01  1.020065e+00  2.202263e-01  2.613876e-01
 1.940412e-02  1.440401e-01  1.246360e-01  2.613876e-01
 2.921057e-05 -2.180164e-02 -2.183085e-02  2.613876e-01
 7.285977e-01  6.726160e-01 -5.598168e-02  2.613876e-01
 1.889364e+00  1.887337e+00 -2.026367e-03  2.259503e-01
 2.942955e+00  3.009811e+00  6.685592e-02  1.768235e-01
 3.366410e+00  3.475097e+00  1.086872e-01  1.630800e-01
 2.942955e+00  3.009882e+00  6.692654e-02  1.768235e-01
 1.889362e+00  1.886583e+00 -2.779141e-03  2.259504e-01
 7.285884e-01  7.017863e-01 -2.680213e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.442224e-01  1.248177e-01  2.613876e-01
 7.998387e-01  1.020292e+00  2.204533e-01  2.613876e-01
 2.084374e+00  2.284721e+00  2.003476e-01  2.152171e-01
 3.447223e+00  3.404879e+00 -4.234377e-02  1.607617e-01
 4.484344e+00  4.165130e+00 -3.192144e-01  1.372874e-01
 5.032698e+00  4.510133e+00 -5.225650e-01  1.282354e-01
 5.210998e+00  4.577997e+00 -6.330006e-01  1.256423e-01
 5.236732e+00  4.572980e+00 -6.637520e-01  1.252804e-01
