#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.578107e+00 -6.328905e-01  1.256423e-01
 5.032699e+00  4.510220e+00 -5.224796e-01  1.282354e-01
 4.484341e+00  4.165678e+00 -3.186633e-01  1.372875e-01
 3.447222e+00  3.404842e+00 -4.237983e-02  1.607618e-01
 2.084373e+00  2.284507e+00  2.001336e-01  2.152172e-01
 7.998389e-01  1.020039e+00  2.202004e-01  2.613876e-01
 1.940412e-02  1.440179e-01  1.246137e-01  2.613876e-01
 2.921057e-05 -2.180155e-02 -2.183077e-02  2.613876e-01
 7.285977e-01  6.726408e-01 -5.595689e-02  2.613876e-01
 1.889364e+00  1.887378e+00 -1.985390e-03  2.259503e-01
 2.942955e+00  3.009860e+00  6.690510e-02  1.768235e-01
 3.366410e+00  3.475149e+00  1.087391e-01  1.630800e-01
 2.942955e+00  3.009931e+00  6.697571e-02  1.768235e-01
 1.889362e+00  1.886624e+00 -2.738166e-03  2.259504e-01
 7.285884e-01  7.018111e-01 -2.677733e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.442002e-01  1.247955e-01  2.613876e-01
 7.998387e-01  1.020266e+00  2.204274e-01  2.613876e-01
 2.084374e+00  2.284711e+00  2.003375e-01  2.152171e-01
 3.447223e+00  3.404884e+00 -4.233850e-02  1.607617e-01
 4.484344e+00  4.165135e+00 -3.192094e-01  1.372874e-01
 5.032698e+00  4.510135e+00 -5.225638e-01  1.282354e-01
 5.210998e+00  4.578002e+00 -6.329955e-01  1.256423e-01
 5.236732e+00  4.572989e+00 -6.637431e-01  1.252804e-01
