#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.590627e+00 -6.203709e-01  1.256423e-01
 5.032699e+00  4.543101e+00 -4.895982e-01  1.282354e-01
 4.484341e+00  4.201580e+00 -2.827604e-01  1.372875e-01
 3.447222e+00  3.425895e+00 -2.132664e-02  1.607618e-01
 2.084373e+00  2.292976e+00  2.086029e-01  2.152172e-01
 7.998389e-01  1.024625e+00  2.247866e-01  2.613876e-01
 1.940412e-02  1.465887e-01  1.271845e-01  2.613876e-01
 2.921057e-05 -2.188319e-02 -2.191240e-02  2.613876e-01
 7.285975e-01  7.019038e-01 -2.669373e-02  2.613876e-01
 1.889364e+00  1.884145e+00 -5.219016e-03  2.259503e-01
 2.942955e+00  2.999328e+00  5.637282e-02  1.768235e-01
 3.366410e+00  3.459539e+00  9.312917e-02  1.630800e-01
 2.942955e+00  2.999399e+00  5.644386e-02  1.768235e-01
 1.889362e+00  1.883393e+00 -5.968627e-03  2.259504e-01
 7.285884e-01  7.007226e-01 -2.786579e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.467713e-01  1.273667e-01  2.613876e-01
 7.998387e-01  1.024853e+00  2.250141e-01  2.613876e-01
 2.084374e+00  2.293181e+00  2.088074e-01  2.152171e-01
 3.447223e+00  3.425940e+00 -2.128325e-02  1.607617e-01
 4.484344e+00  4.201039e+00 -2.833050e-01  1.372874e-01
 5.032698e+00  4.543013e+00 -4.896850e-01  1.282354e-01
 5.210998e+00  4.590518e+00 -6.204800e-01  1.256423e-01
 5.236732e+00  4.573599e+00 -6.631327e-01  1.252804e-01
