#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577713e+00 -6.332846e-01  1.256423e-01
 5.032699e+00  4.499209e+00 -5.334900e-01  1.282354e-01
 4.484341e+00  4.157960e+00 -3.263805e-01  1.372875e-01
 3.447222e+00  3.414553e+00 -3.266847e-02  1.607618e-01
 2.084373e+00  2.307187e+00  2.228138e-01  2.152172e-01
 7.998389e-01  1.040564e+00  2.407248e-01  2.613876e-01
 1.940412e-02  1.534385e-01  1.340343e-01  2.613876e-01
 2.921057e-05 -2.174208e-02 -2.177129e-02  2.613876e-01
 7.285975e-01  7.029926e-01 -2.560495e-02  2.613876e-01
 1.889364e+00  1.900240e+00  1.087595e-02  2.259503e-01
 2.942955e+00  3.042827e+00  9.987224e-02  1.768235e-01
 3.366410e+00  3.518421e+00  1.520113e-01  1.630800e-01
 2.942955e+00  3.042898e+00  9.994255e-02  1.768235e-01
 1.889362e+00  1.899483e+00  1.012099e-02  2.259504e-01
 7.285884e-01  7.018119e-01 -2.677650e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.536205e-01  1.342159e-01  2.613876e-01
 7.998387e-01  1.040790e+00  2.409514e-01  2.613876e-01
 2.084374e+00  2.307391e+00  2.230174e-01  2.152171e-01
 3.447223e+00  3.414594e+00 -3.262869e-02  1.607617e-01
 4.484344e+00  4.157418e+00 -3.269260e-01  1.372874e-01
 5.032698e+00  4.499126e+00 -5.335724e-01  1.282354e-01
 5.210998e+00  4.577612e+00 -6.333857e-01  1.256423e-01
 5.236732e+00  4.579518e+00 -6.572138e-01  1.252804e-01
