#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.582775e+00 -6.282225e-01  1.256423e-01
 5.032699e+00  4.499853e+00 -5.328461e-01  1.282354e-01
 4.484341e+00  4.155665e+00 -3.286754e-01  1.372875e-01
 3.447222e+00  3.413754e+00 -3.346825e-02  1.607618e-01
 2.084373e+00  2.310673e+00  2.263000e-01  2.152172e-01
 7.998389e-01  1.046323e+00  2.464843e-01  2.613876e-01
 1.940412e-02  1.572949e-01  1.378908e-01  2.613876e-01
 2.921057e-05 -2.174091e-02 -2.177012e-02  2.613876e-01
 7.285975e-01  7.010346e-01 -2.756293e-02  2.613876e-01
 1.889364e+00  1.900323e+00  1.095967e-02  2.259503e-01
 2.942955e+00  3.047286e+00  1.043305e-01  1.768235e-01
 3.366410e+00  3.525171e+00  1.587610e-01  1.630800e-01
 2.942955e+00  3.047356e+00  1.044008e-01  1.768235e-01
 1.889362e+00  1.899567e+00  1.020476e-02  2.259504e-01
 7.285884e-01  6.998540e-01 -2.873442e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.574770e-01  1.380723e-01  2.613876e-01
 7.998387e-01  1.046550e+00  2.467109e-01  2.613876e-01
 2.084374e+00  2.310877e+00  2.265036e-01  2.152171e-01
 3.447223e+00  3.413794e+00 -3.342850e-02  1.607617e-01
 4.484344e+00  4.155123e+00 -3.292210e-01  1.372874e-01
 5.032698e+00  4.499770e+00 -5.329286e-01  1.282354e-01
 5.210998e+00  4.582674e+00 -6.283236e-01  1.256423e-01
 5.236732e+00  4.586594e+00 -6.501379e-01  1.252804e-01
