#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.582289e+00 -6.287089e-01  1.256423e-01
 5.032699e+00  4.499650e+00 -5.330499e-01  1.282354e-01
 4.484341e+00  4.155751e+00 -3.285901e-01  1.372875e-01
 3.447222e+00  3.413978e+00 -3.324432e-02  1.607618e-01
 2.084373e+00  2.310866e+00  2.264922e-01  2.152172e-01
 7.998389e-01  1.046425e+00  2.465861e-01  2.613876e-01
 1.940412e-02  1.573347e-01  1.379306e-01  2.613876e-01
 2.921057e-05 -2.174094e-02 -2.177015e-02  2.613876e-01
 7.285975e-01  7.009668e-01 -2.763066e-02  2.613876e-01
 1.889364e+00  1.900134e+00  1.076989e-02  2.259503e-01
 2.942955e+00  3.046959e+00  1.040035e-01  1.768235e-01
 3.366410e+00  3.524781e+00  1.583713e-01  1.630800e-01
 2.942955e+00  3.047029e+00  1.040738e-01  1.768235e-01
 1.889362e+00  1.899377e+00  1.001498e-02  2.259504e-01
 7.285884e-01  6.997863e-01 -2.880216e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.575168e-01  1.381121e-01  2.613876e-01
 7.998387e-01  1.046651e+00  2.468127e-01  2.613876e-01
 2.084374e+00  2.311070e+00  2.266958e-01  2.152171e-01
 3.447223e+00  3.414018e+00 -3.320457e-02  1.607617e-01
 4.484344e+00  4.155208e+00 -3.291357e-01  1.372874e-01
 5.032698e+00  4.499566e+00 -5.331324e-01  1.282354e-01
 5.210998e+00  4.582188e+00 -6.288099e-01  1.256423e-01
 5.236732e+00  4.585992e+00 -6.507395e-01  1.252804e-01
