#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.589431e+00 -6.215667e-01  1.256423e-01
 5.032699e+00  4.529378e+00 -5.033210e-01  1.282354e-01
 4.484341e+00  4.183461e+00 -3.008794e-01  1.372875e-01
 3.447222e+00  3.413479e+00 -3.374289e-02  1.607618e-01
 2.084373e+00  2.287271e+00  2.028981e-01  2.152172e-01
 7.998389e-01  1.022193e+00  2.223543e-01  2.613876e-01
 1.940412e-02  1.457099e-01  1.263057e-01  2.613876e-01
 2.921057e-05 -2.184824e-02 -2.187746e-02  2.613876e-01
 7.285975e-01  7.020480e-01 -2.654946e-02  2.613876e-01
 1.889364e+00  1.885724e+00 -3.639340e-03  2.259503e-01
 2.942955e+00  3.005463e+00  6.250748e-02  1.768235e-01
 3.366410e+00  3.468706e+00  1.022957e-01  1.630800e-01
 2.942955e+00  3.005534e+00  6.257834e-02  1.768235e-01
 1.889362e+00  1.884972e+00 -4.390263e-03  2.259504e-01
 7.285884e-01  7.008670e-01 -2.772139e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.458924e-01  1.264877e-01  2.613876e-01
 7.998387e-01  1.022420e+00  2.225816e-01  2.613876e-01
 2.084374e+00  2.287476e+00  2.031023e-01  2.152171e-01
 3.447223e+00  3.413523e+00 -3.370039e-02  1.607617e-01
 4.484344e+00  4.182920e+00 -3.014242e-01  1.372874e-01
 5.032698e+00  4.529292e+00 -5.034068e-01  1.282354e-01
 5.210998e+00  4.589324e+00 -6.216738e-01  1.256423e-01
 5.236732e+00  4.579216e+00 -6.575158e-01  1.252804e-01
