#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.598364e+00 -6.126336e-01  1.256423e-01
 5.032699e+00  4.523717e+00 -5.089828e-01  1.282354e-01
 4.484341e+00  4.175454e+00 -3.088869e-01  1.372875e-01
 3.447222e+00  3.419590e+00 -2.763221e-02  1.607618e-01
 2.084373e+00  2.308716e+00  2.243430e-01  2.152172e-01
 7.998389e-01  1.045984e+00  2.461450e-01  2.613876e-01
 1.940412e-02  1.590886e-01  1.396845e-01  2.613876e-01
 2.921057e-05 -2.181362e-02 -2.184283e-02  2.613876e-01
 7.285975e-01  6.972625e-01 -3.133499e-02  2.613876e-01
 1.889364e+00  1.891967e+00  2.603698e-03  2.259503e-01
 2.942955e+00  3.033036e+00  9.008046e-02  1.768235e-01
 3.366410e+00  3.507681e+00  1.412710e-01  1.630800e-01
 2.942955e+00  3.033106e+00  9.015115e-02  1.768235e-01
 1.889362e+00  1.891214e+00  1.851708e-03  2.259504e-01
 7.285884e-01  6.960818e-01 -3.250664e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.592710e-01  1.398663e-01  2.613876e-01
 7.998387e-01  1.046211e+00  2.463721e-01  2.613876e-01
 2.084374e+00  2.308921e+00  2.245471e-01  2.152171e-01
 3.447223e+00  3.419632e+00 -2.759059e-02  1.607617e-01
 4.484344e+00  4.174912e+00 -3.094323e-01  1.372874e-01
 5.032698e+00  4.523631e+00 -5.090677e-01  1.282354e-01
 5.210998e+00  4.598259e+00 -6.127388e-01  1.256423e-01
 5.236732e+00  4.596351e+00 -6.403806e-01  1.252804e-01
